year_quarter,value_split_by_4,value_repeated
2010Q1,33511845.0,134047380.0
2010Q2,33511845.0,134047380.0
2010Q3,33511845.0,134047380.0
2010Q4,33511845.0,134047380.0
2011Q1,34956872.50000001,139827490.00000003
2011Q2,34956872.50000001,139827490.00000003
2011Q3,34956872.50000001,139827490.00000003
2011Q4,34956872.50000001,139827490.00000003
2012Q1,34421892.5,137687570.0
2012Q2,34421892.5,137687570.0
2012Q3,34421892.5,137687570.0
2012Q4,34421892.5,137687570.0
2013Q1,34389910.0,137559640.0
2013Q2,34389910.0,137559640.0
2013Q3,34389910.0,137559640.0
2013Q4,34389910.0,137559640.0
2014Q1,32101707.5,128406830.0
2014Q2,32101707.5,128406830.0
2014Q3,32101707.5,128406830.0
2014Q4,32101707.5,128406830.0
2015Q1,29752447.500000004,119009790.00000001
2015Q2,29752447.500000004,119009790.00000001
2015Q3,29752447.500000004,119009790.00000001
2015Q4,29752447.500000004,119009790.00000001
2016Q1,22624107.25,90496429.0
2016Q2,22624107.25,90496429.0
2016Q3,22624107.25,90496429.0
2016Q4,22624107.25,90496429.0
2017Q1,22392094.5,89568378.0
2017Q2,22392094.5,89568378.0
2017Q3,22392094.5,89568378.0
2017Q4,22392094.5,89568378.0
2018Q1,22705093.05,90820372.2
2018Q2,22705093.05,90820372.2
2018Q3,22705093.05,90820372.2
2018Q4,22705093.05,90820372.2
2019Q1,22198798.8,88795195.2
2019Q2,22198798.8,88795195.2
2019Q3,22198798.8,88795195.2
2019Q4,22198798.8,88795195.2
2020Q1,20972137.825,83888551.3
2020Q2,20972137.825,83888551.3
2020Q3,20972137.825,83888551.3
2020Q4,20972137.825,83888551.3
2021Q1,20803952.075,83215808.3
2021Q2,20803952.075,83215808.3
2021Q3,20803952.075,83215808.3
2021Q4,20803952.075,83215808.3
2022Q1,12575040.4,50300161.6
2022Q2,12575040.4,50300161.6
2022Q3,12575040.4,50300161.6
2022Q4,12575040.4,50300161.6
2023Q1,12574111.65,50296446.6
2023Q2,12574111.65,50296446.6
2023Q3,12574111.65,50296446.6
2023Q4,12574111.65,50296446.6
2024Q1,13047529.025,52190116.1
2024Q2,13047529.025,52190116.1
2024Q3,13047529.025,52190116.1
2024Q4,13047529.025,52190116.1
