year-quarter,tax_revenue,total_expense,internal_taxes_goods_services
2010Q1,63767836111.01789,73187847754.21498,18158796629.32786
2010Q2,65537613298.99215,84089567252.74583,19199467277.591755
2010Q3,71241596987.98422,63253535631.1304,21565867054.963074
2010Q4,77452953602.00574,103839049361.90878,22675869038.11731
2011Q1,73045600000.0,84504900000.0,36244000000.0
2011Q2,80660000000.0,103089800000.0,38155600000.0
2011Q3,88715700000.0,99449100000.0,45810300000.0
2011Q4,92270600000.0,129809800000.0,43803100000.0
2012Q1,83560800000.0,98999700000.0,39692000000.0
2012Q2,92642700000.0,117924000000.0,46222000000.0
2012Q3,87422000000.0,118835600000.0,44282200000.0
2012Q4,96941700000.0,156695400000.0,47059400000.0
2013Q1,87643300000.0,112102800000.0,38624700000.0
2013Q2,86555400000.0,127033000000.0,41228300000.0
2013Q3,88178300000.0,119911200000.0,41570900000.0
2013Q4,91591100000.0,146796800000.0,43513500000.0
2014Q1,83519700000.0,111642300000.0,35557700000.0
2014Q2,90452300000.0,132599200000.0,47686200000.0
2014Q3,87020900000.0,119827100000.0,43450200000.0
2014Q4,106519000000.0,159057100000.0,57429800000.0
2015Q1,112631100000.0,126028300000.0,56662700000.0
2015Q2,119085700000.0,159206300000.0,59333500000.0
2015Q3,127619600000.0,147955400000.0,64797600000.0
2015Q4,148299500000.0,246681400000.0,68453700000.0
2016Q1,146940800000.0,159996600000.0,74234600000.0
2016Q2,153965100000.0,190430200000.0,86231400000.0
2016Q3,159645300000.0,206256400000.0,81626600000.0
2016Q4,190230500000.0,279148900000.0,95164100000.0
2017Q1,199335700000.0,216533100000.0,106045100000.0
2017Q2,187402300000.0,227319200000.0,96808400000.0
2017Q3,208796900000.0,255805900000.0,107028400000.0
2017Q4,232623900000.0,357314900000.0001,125548100000.0
2018Q1,223062000000.0,251947200000.0,110653400000.0
2018Q2,233601500000.0,305006800000.0,119863700000.0
2018Q3,252256300000.0,284640300000.0,131866100000.0
2018Q4,277428700000.0,408595200000.0,144774800000.0
2019Q1,246503400000.0,284311100000.0,114392500000.0
2019Q2,257945000000.0,337998600000.0,123819400000.0
2019Q3,270351800000.0,317168800000.0,134458000000.0
2019Q4,295521600000.0,432872100000.0,143096700000.0
2020Q1,255239900000.0,298688100000.0,115289200000.0
2020Q2,234792500000.0,357147400000.0,115413500000.0
2020Q3,288394900000.0,376368500000.0,152634400000.0
2020Q4,358259900000.0,563191900000.0,171113300000.0
2021Q1,303480700000.0,336286500000.0,150667500000.0
2021Q2,334843800000.0,433534000000.0,162755400000.0
2021Q3,379382100000.0,404231500000.0,192311300000.0
2021Q4,436097500000.0,670325700000.0,211055300000.0
2022Q1,324021900000.0,447336900000.0,143468300000.0
2022Q2,271618200000.0,710375100000.0,98929300000.0
2022Q3,366127100000.0,786724700000.0,176510400000.0
2022Q4,381457800000.0,1099434700000.0,163527400000.0
2023Q1,353348500000.0,809503400000.0,156949500000.0
2023Q2,388995800000.0,715215400000.0,180292200000.0
2023Q3,436354100000.0,-399107800000.0,211360600000.0
2023Q4,307511300000.0,252146000000.0,147956900000.0
2024Q1,434881327201.7567,916389800000.0,202562996217.76312
2024Q2,21359716373.936707,263288300000.0,9949123764.191772
2024Q3,109672119462.9195,-39392200000.0,51084081404.246765
2024Q4,65335103145.32385,567386400000.0,30432381027.8786
